Date,Time,Open,High,Low,Close,Volume
1/23/2017,09:39:00,8390.55,8395.75,8389.7,8394,64650
1/23/2017,09:40:00,8394,8394,8388.3,8390.4,41025
1/23/2017,09:41:00,8395.55,8396.95,8391.6,8396.95,59100
1/23/2017,09:42:00,8397,8403.45,8397,8402.25,79125
1/23/2017,09:43:00,8402.25,8405.95,8400,8400,102150
1/23/2017,09:44:00,8399.95,8400.6,8397,8397,45075
1/23/2017,09:45:00,8400,8400.7,8398.05,8398.5,42900
1/23/2017,09:46:00,8399,8405.7,8399,8402.95,41625
1/23/2017,09:47:00,8401.35,8402.55,8399.05,8400.3,20550
1/23/2017,09:48:00,8399.4,8404.95,8397.55,8403.1,32325
1/23/2017,09:49:00,8403.1,8404.95,8397.55,8397.65,31725
1/23/2017,09:50:00,8397.65,8398.2,8393.45,8394.95,34200
1/23/2017,09:51:00,8394.05,8396.6,8393.35,8396.6,43725
1/23/2017,09:52:00,8396.7,8398,8393.35,8393.35,18825
1/23/2017,09:53:00,8393,8399.7,8393,8397.75,27675
1/23/2017,09:54:00,8397.9,8398.8,8396.1,8396.7,30450
1/23/2017,09:55:00,8398.15,8402.95,8398.15,8402.45,23175
1/23/2017,09:56:00,8402.45,8402.45,8397.4,8399,16050
1/23/2017,09:57:00,8399,8399.65,8396.1,8397.55,16650
1/23/2017,09:58:00,8397.55,8398.75,8395,8395.65,11400
1/23/2017,09:59:00,8395.6,8397,8391.8,8393.15,31650
1/23/2017,10:00:00,8393.05,8395,8392.8,8393.2,21900
1/23/2017,10:01:00,8394.85,8397.45,8394.85,8396.1,33750
1/23/2017,10:02:00,8395.25,8397,8394.25,8395.3,40275
1/23/2017,10:03:00,8394,8395.8,8393.7,8394.85,18375
1/23/2017,10:04:00,8394.5,8395,8391.4,8391.55,14775
1/23/2017,10:05:00,8391.2,8393.6,8391.2,8393.1,18900
1/23/2017,10:06:00,8392,8392.15,8391,8391,11025
1/23/2017,10:07:00,8392,8395,8392,8394.2,14100
1/23/2017,10:08:00,8391.1,8392,8390.9,8391.5,8475
1/23/2017,10:09:00,8390.5,8391.55,8389.05,8389.35,32925
1/23/2017,10:10:00,8393,8394.7,8392.3,8392.95,17250
1/23/2017,10:11:00,8395,8395.1,8393.1,8394,17625
1/23/2017,10:12:00,8394,8395.6,8389.45,8390.3,38850
1/23/2017,10:13:00,8390.3,8392.25,8389.7,8390.15,18825
1/23/2017,10:14:00,8391.4,8392,8389.2,8391.05,29175
1/23/2017,10:15:00,8391.8,8392,8389.05,8390.9,22050
1/23/2017,10:16:00,8390,8392.05,8389.15,8392.05,33900
1/23/2017,10:17:00,8392.55,8396.25,8391.9,8393.1,22875
1/23/2017,10:18:00,8393.95,8395.05,8392.1,8394.95,12150
1/23/2017,10:19:00,8395.05,8396,8393.35,8394.6,8250
1/23/2017,10:20:00,8395.4,8395.4,8392.2,8392.2,8925
1/23/2017,10:21:00,8393.7,8394.9,8393,8394,12975
1/23/2017,10:22:00,8393.05,8393.5,8392.25,8392.95,5175
1/23/2017,10:23:00,8393.3,8394.35,8392.55,8393.9,18825
1/23/2017,10:24:00,8392.45,8393.5,8392.45,8393.5,4950
1/23/2017,10:25:00,8393.5,8394,8392.65,8393.5,16725
1/23/2017,10:26:00,8390,8391.7,8389.4,8390,23850
1/23/2017,10:27:00,8390,8393.2,8390,8392.65,7875
1/23/2017,10:28:00,8392.65,8392.65,8390,8390,10875
1/23/2017,10:29:00,8390.65,8392,8390.3,8391.5,14250
1/23/2017,10:30:00,8391.5,8392,8388.3,8389.3,28050
1/23/2017,10:31:00,8388.05,8388.45,8387.1,8387.15,20250
1/23/2017,10:32:00,8386.45,8388.85,8386.05,8387.95,27300
1/23/2017,10:33:00,8387.95,8391.1,8387.9,8390.8,12075
1/23/2017,10:34:00,8390,8390,8389.3,8390,5175
1/23/2017,10:35:00,8391,8391.45,8390.15,8391.2,56700
1/23/2017,10:36:00,8391.5,8392.45,8389.5,8392,27300
1/23/2017,10:37:00,8391.2,8392,8391,8392,39300
1/23/2017,10:38:00,8392,8392.3,8390,8391.8,19950
1/23/2017,10:39:00,8393.85,8395,8393.35,8394.3,11400
1/23/2017,10:40:00,8394.8,8397,8393.25,8397,12900
1/23/2017,10:41:00,8397,8398.05,8396,8396,23775
1/23/2017,10:42:00,8396,8397,8394.75,8394.75,4950
1/23/2017,10:43:00,8394.75,8395.65,8393.75,8394.5,7425
1/23/2017,10:44:00,8394.5,8396,8394,8396,13875
1/23/2017,10:45:00,8396,8398.4,8394.7,8397.3,9300
1/23/2017,10:46:00,8397.7,8399,8396.1,8398.5,23175
1/23/2017,10:47:00,8399,8400,8396.45,8397.95,62925
1/23/2017,10:48:00,8397.2,8398.8,8395.95,8398.8,21150
1/23/2017,10:49:00,8398.8,8401.55,8398,8399.5,43500
1/23/2017,10:50:00,8398,8400.9,8398,8399.85,49050
1/23/2017,10:51:00,8399.85,8400.3,8398.8,8399.3,39825
1/23/2017,10:52:00,8398.45,8399,8397,8398.5,12300
1/23/2017,10:53:00,8398.5,8399.5,8397.2,8398.55,6825
